LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000001,190.92857142857144,1158118282764.1606,0.3294399520814615,13474.5762711864,0.007,0.0,0.0,69.8233
E01000002,183.25,511960089521.4872,2.409638554216868,7346.76007005254,0.034,34130672634.76581,0.0,83.782
E01000003,132.77777777777777,2020693841747.571,-17.050691244239633,32148.9001692047,0.086,0.0,0.0,41.7417
E01000005,293.24657534246575,4371727837493.757,,11503.164556962,0.211,283352730207.9287,0.0,85.8893
E01000006,53.0,267603560179.06384,-33.97260273972603,14440.6548431105,0.117,0.0,0.0,22.4558
E01000007,140.1818181818182,1129520402366.0945,31.91489361702128,13520.0,0.207,0.0,0.0,33.3023
E01000008,408.0,159589805213.85785,,8170.1691440287,0.265,0.0,0.0,7.39059
E01000009,94.1818181818182,900194884606.034,17.5,15316.6536356529,0.187,0.0,0.0,38.3641
E01000010,111.08333333333331,1084048659494.7462,-15.65217391304348,10366.3731894348,0.169,44246884061.01005,2.865876459337819,32.286
E01000011,54.5,769131828459.1936,,19116.6848418757,0.167,0.0,0.0,31.9167
E01000012,58.66666666666666,714748429638.5485,14.117647058823527,17064.7482014388,0.239,54980648433.7345,0.0,16.2314
E01000013,58.66666666666666,147953414345.3854,24.761904761904763,8878.72954764196,0.213,0.0,0.0,13.1449
E01000014,147.0,90737699539.67972,17.741935483870968,4982.41500586167,0.201,0.0,0.0,7.46001
E01000015,126.9090909090909,633866968775.5343,-12.457912457912458,8535.28153955809,0.216,0.0,0.0,8.29508
E01000016,120.0,118019571794.88168,29.623567921440262,8747.48490945674,0.199,0.0,0.0,5.11561
E01000017,169.5,191946095005.42676,22.54901960784314,9494.9494949495,0.25,0.0,0.0,8.20281
E01000018,54.5,177892860933.63794,27.33333333333333,9919.44764096663,0.212,0.0,0.0,7.37822
E01000019,79.6,254572947672.04672,,8315.21739130435,0.194,0.0,0.0,4.58686
