LSOA code,Price_Change
E01000001,0.32943995208146154
E01000002,2.4096385542168677
E01000003,-17.050691244239633
E01000005,
E01000006,-33.97260273972603
E01000007,31.914893617021278
E01000008,
E01000009,17.5
E01000010,-15.65217391304348
E01000011,
E01000012,14.117647058823529
E01000013,24.761904761904763
E01000014,17.741935483870968
E01000015,-12.457912457912458
E01000016,29.623567921440262
E01000017,22.54901960784314
E01000018,27.333333333333332
E01000019,
E01000020,5.113636363636364
E01000021,11.805555555555555
E01000022,16.96869851729819
E01000023,56.99999999999999
E01000024,29.558823529411764
E01000025,12.808641975308642
E01000027,26.865671641791046
E01000028,-0.967741935483871
E01000029,9.740259740259742
E01000030,21.279999999999998
E01000031,17.5
E01000032,44.73684210526316
E01000033,8.333333333333332
E01000034,34.36734693877551
E01000035,16.37239165329053
E01000036,23.134328358208954
E01000037,13.725490196078432
E01000038,25.205479452054796
E01000039,22.595419847328245
E01000040,
E01000041,21.774193548387096
E01000042,-14.653784219001611
E01000043,9.329446064139942
E01000044,21.21212121212121
E01000045,24.87644151565074
E01000046,15.66265060240964
E01000048,
E01000049,
E01000050,-8.557625948930296
E01000051,
E01000052,23.754152823920265
E01000053,
E01000054,38.240574506283664
E01000055,27.3015873015873
E01000056,5.833333333333333
E01000057,29.471890971039183
E01000058,23.47826086956522
E01000059,33.223684210526315
E01000060,22.04424103737605
E01000061,
E01000062,38.30508474576271
E01000063,25.396825396825395
E01000064,29.64426877470356
E01000065,15.483870967741936
E01000066,26.631853785900784
E01000067,10.526315789473683
E01000068,23.863636363636363
E01000069,18.712273641851105
E01000070,38.88888888888889
E01000071,17.732558139534884
E01000072,17.966101694915253
E01000073,17.46031746031746
E01000074,25.666666666666664
E01000075,36.91275167785235
E01000076,29.152542372881356
E01000077,26.551724137931032
E01000078,20.0
E01000079,25.838926174496645
E01000080,29.03225806451613
E01000081,18.73990306946688
E01000082,33.68421052631579
E01000083,7.578124999999999
E01000084,20.96
E01000085,34.385964912280706
E01000086,23.499142367066895
E01000087,
E01000088,28.875110717449072
E01000089,27.368421052631582
E01000090,34.715025906735754
E01000091,
E01000092,14.241330765869996
E01000093,-15.789473684210526
E01000094,-2.735562310030395
E01000095,11.76470588235294
E01000096,
E01000097,22.31139646869984
E01000098,0.47318611987381703
E01000099,11.067193675889328
E01000100,24.45193929173693
E01000101,21.951219512195124
E01000102,17.258064516129032
E01000103,28.8135593220339
E01000104,-9.782608695652174
E01000105,8.26086956521739
E01000106,23.5
E01000107,37.70992366412214
E01000108,20.3125
E01000109,40.468227424749166
E01000110,30.136986301369863
E01000111,24.409448818897637
E01000112,16.363636363636363
E01000113,18.859649122807017
E01000114,14.388489208633093
E01000115,23.076923076923077
E01000116,4.0650406504065035
E01000117,9.090909090909092
E01000118,19.069767441860467
E01000119,15.808823529411764
E01000120,19.54022988505747
E01000121,45.71934426229508
E01000122,13.909774436090224
E01000123,21.052631578947366
E01000124,-2.976190476190476
E01000125,-8.103727714748784
E01000126,-14.970930232558139
E01000127,
E01000128,
E01000129,
E01000130,19.912790697674417
E01000131,49.673202614379086
E01000132,32.47863247863248
E01000133,
E01000134,5.540897097625329
E01000135,32.299270072992705
E01000136,109.79020979020979
E01000137,
E01000138,76.56565656565657
E01000139,181.97927461139895
E01000140,50.0
E01000141,32.6517571884984
E01000142,61.111111111111114
E01000143,-4.3478260869565215
E01000144,-5.9024807527801535
E01000145,-9.19047619047619
E01000146,20.76923076923077
E01000147,30.604651162790695
E01000148,
E01000150,4.081632653061225
E01000151,
E01000152,-17.528089887640448
E01000153,15.942028985507244
E01000154,11.8508655126498
E01000155,23.865300146412885
E01000156,73.55371900826447
E01000157,6.283783783783783
E01000158,105.67786790266511
E01000159,14.56953642384106
E01000160,38.372093023255815
E01000161,6.25
E01000162,20.600858369098713
E01000163,-8.96551724137931
E01000164,92.0
E01000165,40.46242774566474
E01000166,4.511278195488721
E01000167,14.361702127659576
E01000168,17.770034843205575
E01000169,55.08982035928144
E01000170,31.491712707182316
E01000171,39.83050847457627
E01000172,11.162790697674419
E01000173,28.167641325536064
E01000174,10.9375
E01000175,1.366240634640811
E01000176,-2.2157996146435455
E01000177,-8.273381294964029
E01000178,7.109004739336493
E01000179,24.198250728862973
E01000180,2.2179363548698166
E01000181,27.069767441860463
E01000182,29.35323383084577
E01000183,108.42625899280576
E01000184,-2.7777777777777777
E01000185,
E01000186,14.084507042253522
E01000187,7.054263565891474
E01000188,-24.07932011331445
E01000189,-6.323185011709602
E01000190,22.377622377622377
E01000191,-29.55719557195572
E01000192,3.9877300613496933
E01000193,-17.906976744186046
E01000194,12.554112554112553
E01000195,47.94520547945205
E01000196,0.0
E01000197,12.969283276450511
E01000198,5.524079320113314
E01000199,94.04973357015986
E01000200,-27.736486486486488
E01000201,80.61674008810573
E01000202,36.2962962962963
E01000203,45.27845036319613
E01000204,49.87897272952091
E01000205,-18.75
E01000206,71.42857142857143
E01000207,23.49847972972973
E01000208,-21.21818181818182
E01000209,24.324324324324326
E01000210,22.82051282051282
E01000211,-6.400098526212078
E01000212,41.76470588235294
E01000213,44.66546112115732
E01000214,-61.25954198473282
E01000215,30.73621833482079
E01000216,6.122448979591836
E01000217,5.754716981132075
E01000218,46.13778705636743
E01000219,-48.23529411764706
E01000220,34.61538461538461
E01000221,
E01000222,-13.18181818181818
E01000223,15.955473098330241
E01000224,5.813953488372093
E01000225,31.55339805825243
E01000226,
E01000227,24.42396313364055
E01000228,-3.3333333333333335
E01000229,33.72093023255814
E01000230,13.861386138613863
E01000231,71.32352941176471
E01000232,30.37037037037037
E01000233,7.480314960629922
E01000234,-8.412483039348711
E01000235,23.599999999999998
E01000236,86.48648648648648
E01000237,4.967032967032967
E01000238,-7.142857142857142
E01000239,89.65482758620689
E01000240,56.596858638743456
E01000241,93.15673289183223
E01000242,-11.594202898550725
E01000243,4.545454545454546
E01000244,25.44519192718639
E01000245,214.54545454545456
E01000246,24.583333333333332
E01000247,25.668449197860966
E01000248,10.85972850678733
E01000249,-2.2556390977443606
E01000250,70.0795972515137
E01000251,-12.987012987012985
E01000252,51.856763925729446
E01000253,87.99646954986761
E01000254,7.025846377866764
E01000255,14.414414414414415
E01000256,-28.235294117647058
E01000257,17.02127659574468
E01000258,-11.280101394169835
