LSOA11CD,hotel_count,area_km2,hotel_density
E01000001,0.0,0.13332076877863808,0.0
E01000002,1.0,0.22619127292780722,4.4210370588398735
E01000003,0.0,0.057302966493630744,0.0
E01000005,7.0,0.190738760393792,36.69941015422385
E01000006,0.0,0.14419584677247363,0.0
E01000007,0.0,0.19813480910878434,0.0
E01000008,0.0,0.1934250988212346,0.0
E01000009,0.0,0.12859152608999452,0.0
E01000010,2.0,0.3488483419677017,5.733150367632164
E01000011,0.0,0.0902976797441405,0.0
E01000012,1.0,0.14035344924534915,7.124869430546871
E01000013,0.0,0.20862586045707812,0.0
E01000014,0.0,0.34017682153243317,0.0
E01000015,0.0,0.279995867475104,0.0
E01000016,0.0,0.19612992759387216,0.0
E01000017,0.0,0.16078982064505826,0.0
E01000018,0.0,0.17350149809476578,0.0
E01000019,0.0,0.18181781292984944,0.0
E01000020,0.0,0.18841442966460975,0.0
E01000021,0.0,0.17135120294589576,0.0
E01000022,0.0,0.12835300105479824,0.0
E01000023,0.0,0.2133894357250332,0.0
E01000024,0.0,0.12793095780423344,0.0
E01000025,0.0,0.15057811470377755,0.0
E01000027,0.0,1.481937096688095,0.0
E01000028,0.0,0.14712224159485868,0.0
E01000029,0.0,0.2530137847862809,0.0
E01000030,0.0,0.28356064260652614,0.0
E01000031,0.0,0.8435532686858991,0.0
E01000032,0.0,0.3792662534408067,0.0
E01000033,0.0,0.14276809209340918,0.0
E01000034,0.0,0.5149443663747644,0.0
E01000035,0.0,0.3943782494926379,0.0
E01000036,1.0,0.4298156916571193,2.326578622908302
E01000037,0.0,0.23751539969827914,0.0
E01000038,0.0,0.21230908586435007,0.0
E01000039,0.0,1.5254465926676815,0.0
E01000040,0.0,0.1692941763862479,0.0
E01000041,0.0,0.1516592531490103,0.0
E01000042,0.0,0.2320003585462849,0.0
E01000043,0.0,0.26531213180020324,0.0
E01000044,0.0,0.17448581015460246,0.0
E01000045,0.0,0.2995868206666506,0.0
E01000046,0.0,0.15706861265023248,0.0
E01000048,0.0,0.06403849278815262,0.0
E01000049,0.0,0.21358063944411393,0.0
E01000050,0.0,0.13816281979842426,0.0
E01000051,0.0,0.06579607550751564,0.0
E01000052,0.0,0.2005659555181422,0.0
E01000053,0.0,0.17808468738719613,0.0
E01000054,0.0,0.17103239904067838,0.0
E01000055,0.0,0.14723500137077483,0.0
E01000056,1.0,0.24895114855065545,4.0168523255337565
E01000057,0.0,0.14645700495040895,0.0
E01000058,0.0,0.18216735262685238,0.0
E01000059,0.0,0.20934256577936905,0.0
E01000060,0.0,0.550401356301744,0.0
E01000061,0.0,0.6055282142255373,0.0
E01000062,0.0,0.22591490877072704,0.0
E01000063,0.0,0.18252154958301567,0.0
E01000064,0.0,0.20930318208296778,0.0
E01000065,0.0,0.23123397172479937,0.0
E01000066,0.0,0.24584119942314372,0.0
E01000067,0.0,0.19214965240860388,0.0
E01000068,0.0,0.3416923982400986,0.0
E01000069,0.0,0.19535639515457465,0.0
E01000070,0.0,0.39581801067283856,0.0
E01000071,0.0,0.2706216320992329,0.0
E01000072,0.0,0.5225601228877857,0.0
E01000073,0.0,0.28292859812313675,0.0
E01000074,0.0,0.16457125577211243,0.0
E01000075,0.0,0.5161598299550263,0.0
E01000076,0.0,0.18998105044107783,0.0
E01000077,0.0,0.1740192378814601,0.0
E01000078,0.0,0.17176029969125953,0.0
E01000079,0.0,0.3099089003429206,0.0
E01000080,0.0,0.2329630440940055,0.0
E01000081,0.0,0.18634207266792846,0.0
E01000082,0.0,0.16335065056851253,0.0
E01000083,0.0,0.1792680080264163,0.0
E01000084,0.0,0.15248140797231474,0.0
E01000085,0.0,0.14456950173628516,0.0
E01000086,0.0,0.13909235827956457,0.0
E01000087,1.0,0.37516218762106884,2.6655138310741653
E01000088,0.0,0.22435139458530776,0.0
E01000089,0.0,0.15094191988681308,0.0
E01000090,0.0,1.9434863630443504,0.0
E01000091,0.0,0.24776228335127234,0.0
E01000092,0.0,2.6434632812704577,0.0
E01000093,0.0,0.2922224575126359,0.0
E01000094,0.0,0.6002381002250959,0.0
E01000095,0.0,2.29736076850211,0.0
E01000096,0.0,0.5986500696563997,0.0
E01000097,0.0,0.18142166228805265,0.0
E01000098,0.0,0.17364951706229628,0.0
E01000099,0.0,0.310307818821255,0.0
E01000100,0.0,0.2106054318270999,0.0
E01000101,0.0,0.16099844453723472,0.0
E01000102,0.0,0.25439076530941734,0.0
E01000103,0.0,0.6982383012474561,0.0
E01000104,0.0,0.2161691835533837,0.0
E01000105,0.0,0.22361036613276314,0.0
E01000106,0.0,0.22085178769712843,0.0
E01000107,0.0,0.5394338046703567,0.0
E01000108,0.0,0.23852925370523778,0.0
E01000109,0.0,0.3758434251456136,0.0
E01000110,0.0,0.18838166418881538,0.0
E01000111,0.0,0.3014110631231058,0.0
E01000112,0.0,0.276279588878621,0.0
E01000113,0.0,0.15467315980298363,0.0
E01000114,0.0,0.25621107541203897,0.0
E01000115,0.0,0.27982176926460994,0.0
E01000116,0.0,0.24532630906510933,0.0
E01000117,0.0,0.3293836261980076,0.0
E01000118,0.0,0.2850845195483537,0.0
E01000119,0.0,0.400518722301133,0.0
E01000120,0.0,0.24296999074819076,0.0
E01000121,0.0,0.37664093352649636,0.0
E01000122,0.0,0.23551850950625247,0.0
E01000123,0.0,0.5245520340865039,0.0
E01000124,0.0,0.2600257774481216,0.0
E01000125,0.0,0.3031571555130941,0.0
E01000126,0.0,0.1578444982145625,0.0
E01000127,0.0,0.19629623756743408,0.0
E01000128,0.0,0.2428135214944068,0.0
