,GSS_CODE,WARD,Airbnb_price,Airbnb_availability_365,Reviews_per_month,Review_scores_value,Airbnb_count,Houseprice_median,Housesales_median,Population,Population_per_hectare,Population_per_square_kilometre
53,E05000079,North End,69.0,280.5,0.6,4.73,32,285000.0,112.0,14280.0,25.10107224,2510.107224
54,E05000080,Northumberland Heath,86.0,304.5,0.725,4.715,8,335000.0,99.0,10682.0,60.58990357,6058.990357
55,E05000081,St. Mary's,70.0,179.5,0.395,4.9,12,427000.0,145.0,12247.0,27.65184014,2765.184014
56,E05000082,St. Michael's,60.0,269.0,0.96,4.97,7,391000.0,143.0,11748.0,81.35734072,8135.734072
57,E05000083,Sidcup,105.0,341.0,0.62,4.81,19,370000.0,193.0,12592.0,46.60251665,4660.251665
58,E05000084,Thamesmead East,60.0,270.0,0.61,4.73,51,260000.0,67.0,13950.0,28.8401902,2884.01902
59,E05000085,Alperton,79.5,77.5,0.61,4.905,24,347500.0,68.0,19927.0,96.82701652,9682.701652
60,E05000086,Barnhill,109.5,185.5,1.3900000000000001,4.675,86,471250.0,78.0,17288.0,58.11092437,5811.092437
61,E05000087,Brondesbury Park,115.0,196.0,0.88,4.66,143,630000.0,94.0,12984.0,75.40069686,7540.069686
62,E05000088,Dollis Hill,98.0,336.0,0.2,4.75,73,422500.0,52.0,14173.0,61.67536989,6167.536989
63,E05000089,Dudden Hill,75.5,229.5,0.8200000000000001,4.779999999999999,76,700000.0,68.0,17988.0,106.9441141,10694.41141
64,E05000090,Fryent,75.0,287.0,1.125,4.805,32,450000.0,77.0,14896.0,56.04213695,5604.213695
65,E05000091,Harlesden,89.0,160.0,1.0,4.67,63,421475.0,56.0,15927.0,142.8430493,14284.30493
66,E05000092,Kensal Green,98.0,131.5,0.94,4.72,130,647500.0,96.0,14873.0,132.676182,13267.6182
67,E05000093,Kenton,62.0,88.0,1.75,4.82,11,610000.0,53.0,13133.0,58.36888889,5836.888889
68,E05000094,Kilburn,120.0,151.0,0.71,4.71,177,599950.0,191.0,18181.0,192.595339,19259.5339
69,E05000095,Mapesbury,70.0,147.5,0.81,4.625,122,540000.0,85.0,15716.0,112.7403156,11274.03156
70,E05000096,Northwick Park,65.5,172.0,0.6399999999999999,4.5600000000000005,32,619000.0,50.0,12108.0,45.29741863,4529.741863
71,E05000097,Preston,81.0,162.0,2.12,4.67,33,462500.0,74.0,16027.0,66.91858038,6691.858038
72,E05000098,Queens Park,139.0,152.5,0.68,4.78,178,972250.0,128.0,15323.0,102.9079919,10290.79919
73,E05000099,Queensbury,100.0,177.0,0.59,4.75,29,485000.0,67.0,19567.0,95.44878049,9544.878049
74,E05000100,Stonebridge,87.0,170.0,0.72,4.75,41,437500.0,92.0,22057.0,54.3945746,5439.45746
75,E05000101,Sudbury,138.0,159.0,2.07,4.75,33,385500.0,124.0,16160.0,75.8685446,7586.85446
76,E05000102,Tokyngton,137.0,156.0,1.71,4.73,173,427200.0,325.0,27645.0,100.0180897,10001.80897
77,E05000103,Welsh Harp,90.0,199.0,0.51,4.69,33,411000.0,70.0,13763.0,59.52854671,5952.854671
78,E05000104,Wembley Central,98.0,169.0,0.95,4.78,57,385000.0,43.0,19385.0,120.9295072,12092.95072
79,E05000105,Willesden Green,64.0,159.5,0.76,4.715,110,457600.0,88.0,16009.0,103.4841629,10348.41629
80,E05000106,Bickley,142.5,215.5,0.22,4.78,16,633750.0,198.0,17150.0,35.22283837,3522.283837
81,E05000107,Biggin Hill,43.5,359.0,0.47,4.885,6,375000.0,169.0,10786.0,13.02342429,1302.342429
82,E05000108,Bromley Common and Keston,120.0,231.0,0.76,4.89,15,442000.0,251.0,17775.0,21.36161519,2136.161519
83,E05000109,Bromley Town,99.0,234.5,0.83,4.805,46,429975.0,306.0,22719.0,61.10543303,6110.543303
84,E05000110,Chelsfield and Pratts Bottom,69.0,309.0,0.69,4.83,21,480000.0,211.0,15707.0,12.50358223,1250.358223
85,E05000111,Chislehurst,117.0,234.0,0.635,4.79,18,545000.0,239.0,17097.0,16.36233132,1636.233132
86,E05000112,Clock House,98.0,186.0,0.495,4.945,32,435000.0,289.0,17387.0,76.72992056,7672.992056
87,E05000113,Copers Cope,110.0,171.0,0.71,4.81,33,390000.0,346.0,17453.0,53.11320755,5311.320755
88,E05000114,Cray Valley East,83.0,249.0,0.54,4.77,17,325000.0,245.0,16912.0,12.72727273,1272.727273
89,E05000115,Cray Valley West,63.0,269.0,0.47,4.77,15,335000.0,156.0,17873.0,45.38598273,4538.598273
90,E05000116,Crystal Palace,89.0,137.0,0.59,4.8,71,357000.0,181.0,14249.0,62.14129961,6214.129961
91,E05000117,Darwin,232.0,266.0,0.88,4.77,7,523500.0,63.0,5503.0,1.895298777,189.5298777
92,E05000118,Farnborough and Crofton,53.0,90.0,1.21,4.92,5,500000.0,228.0,15680.0,22.41601144,2241.601144
93,E05000119,Hayes and Coney Hall,64.5,145.5,1.025,4.890000000000001,12,520000.0,220.0,17433.0,16.11629842,1611.629842
94,E05000120,Kelsey and Eden Park,100.0,247.0,0.46,4.83,13,510000.0,201.0,18137.0,34.87884615,3487.884615
95,E05000121,Mottingham and Chislehurst North,95.0,157.0,0.46,4.88,17,336500.0,139.0,10525.0,42.97672519,4297.672519
96,E05000122,Orpington,84.5,77.5,0.915,5.0,26,394500.0,244.0,16442.0,38.6325188,3863.25188
97,E05000123,Penge and Cator,92.0,172.0,1.0,4.72,55,430000.0,237.0,18767.0,63.46635103,6346.635103
98,E05000124,Petts Wood and Knoll,70.5,127.0,0.44999999999999996,4.845000000000001,10,600000.0,173.0,15908.0,36.9781497,3697.81497
99,E05000125,Plaistow and Sundridge,55.5,268.0,0.71,4.720000000000001,38,395000.0,249.0,17137.0,42.91760581,4291.760581
100,E05000126,Shortlands,92.0,267.5,0.24,4.890000000000001,12,637500.0,138.0,10687.0,43.51384365,4351.384365
101,E05000127,West Wickham,50.0,177.0,0.71,4.8,9,587500.0,180.0,16130.0,36.55109903,3655.109903
102,E05000128,Belsize,160.0,199.5,0.605,4.695,128,980000.0,109.0,14397.0,184.5769231,18457.69231
103,E05000129,Bloomsbury,174.5,182.0,1.11,4.56,390,608750.0,74.0,12256.0,120.0391773,12003.91773
104,E05000130,Camden Town with Primrose Hill,161.0,164.5,1.0550000000000002,4.705,288,970000.0,124.0,15733.0,134.9313894,13493.13894
105,E05000131,Cantelowes,139.0,152.0,1.04,4.73,137,719870.0,178.0,14332.0,189.0765172,18907.65172
106,E05000132,Fortune Green,95.0,162.5,0.63,4.73,70,642500.0,108.0,13780.0,137.1144279,13711.44279
107,E05000133,Frognal and Fitzjohns,150.0,163.0,0.635,4.73,128,1300000.0,140.0,14144.0,92.26353555,9226.353555
108,E05000134,Gospel Oak,145.0,90.0,1.0,4.745,58,700000.0,131.0,12994.0,188.0463097,18804.63097
109,E05000135,Hampstead Town,195.0,212.0,0.74,4.73,103,1300000.0,117.0,12401.0,50.61632653,5061.632653
110,E05000136,Haverstock,156.0,126.0,1.0,4.7,130,697500.0,80.0,14172.0,193.6065574,19360.65574
111,E05000137,Highgate,145.0,165.0,0.7,4.84,55,710000.0,107.0,11913.0,36.7458359,3674.58359
112,E05000138,Holborn and Covent Garden,219.5,190.5,0.875,4.6,540,900000.0,83.0,15836.0,131.856786,13185.6786
113,E05000139,Kentish Town,113.0,84.0,1.08,4.78,93,657000.0,142.0,16458.0,160.0972763,16009.72763
114,E05000140,Kilburn,100.0,135.0,1.025,4.68,154,535000.0,90.0,14229.0,207.4198251,20741.98251
115,E05000141,King's Cross,121.0,189.0,1.17,4.5,355,892994.0,77.0,13351.0,218.8688525,21886.88525
116,E05000142,Regent's Park,125.0,215.0,1.61,4.45,345,632500.0,66.0,15260.0,113.037037,11303.7037
117,E05000143,St. Pancras and Somers Town,137.5,133.0,1.29,4.59,292,753300.0,131.0,22023.0,157.3071429,15730.71429
118,E05000144,Swiss Cottage,150.0,160.0,0.97,4.69,153,802500.0,132.0,15199.0,120.9148767,12091.48767
119,E05000145,West Hampstead,116.0,144.0,0.64,4.6,125,744800.0,239.0,15072.0,169.9210823,16992.10823
120,E05000146,Addiscombe,76.0,229.0,1.4,4.79,79,369995.0,381.0,18982.0,119.0094044,11900.94044
121,E05000147,Ashburton,49.0,330.0,0.8,4.83,19,430000.0,128.0,14839.0,54.67575534,5467.575534
122,E05000148,Bensham Manor,40.0,295.0,0.46,4.86,35,340000.0,129.0,17831.0,123.3125864,12331.25864
123,E05000149,Broad Green,69.0,240.0,0.54,4.42,61,295500.0,184.0,24921.0,93.44206974,9344.206974
124,E05000150,Coulsdon East,50.5,185.5,1.4100000000000001,4.855,14,442500.0,167.0,12657.0,16.34637737,1634.637737
