LSOA11CD,average_price,airbnb_count,airbnb_density
E01000001,190.92857142857142,20.0,150.01413645616924
E01000002,183.25,15.0,66.3155558825981
E01000003,132.77777777777777,15.0,261.7665527258045
E01000005,293.24657534246575,108.0,566.2194709508823
E01000006,53.0,5.0,34.675062506408324
E01000007,140.1818181818182,29.0,146.36499326111738
E01000008,408.0,4.0,20.679839505713993
E01000009,94.18181818181819,15.0,116.64843287964621
E01000010,111.08333333333333,49.0,140.46218400698802
E01000011,54.5,9.0,99.67033511272496
E01000012,58.666666666666664,13.0,92.62330259710933
E01000013,58.666666666666664,4.0,19.1730785015645
E01000014,147.0,4.0,11.758590670524658
E01000015,126.9090909090909,23.0,82.14406950861536
E01000016,120.0,3.0,15.295982804889036
E01000017,169.5,4.0,24.877196727708004
E01000018,54.5,4.0,23.054555977466066
E01000019,79.6,6.0,33.00006695336817
E01000020,13.0,1.0,5.307449125738759
E01000021,60.6,6.0,35.01580319745116
E01000022,0.0,0.0,0.0
E01000023,149.54545454545453,16.0,74.98028168843882
E01000024,172.0,1.0,7.816716275432344
E01000025,150.0,2.0,13.282142653562031
E01000027,117.0,2.0,1.3495849482880868
E01000028,140.0,2.0,13.594137625414564
E01000029,139.42857142857142,7.0,27.66647677284799
E01000030,62.5,2.0,7.053165000670548
E01000031,158.83333333333334,9.0,10.669154319110572
E01000032,77.66666666666667,6.0,15.820020752087396
E01000033,101.5,2.0,14.008732418245499
E01000034,42.25,5.0,9.709786777939266
E01000035,105.4,12.0,30.427641522923317
E01000036,60.0,3.0,6.979735868724906
E01000037,215.0,2.0,8.42050663889854
E01000038,72.0,1.0,4.710114011036374
E01000039,43.0,1.0,0.6555457298909514
E01000040,40.0,1.0,5.90687772814158
E01000041,57.0,2.0,13.187457794183734
E01000042,95.6,5.0,21.551690830695343
E01000043,105.5,3.0,11.307436187121624
E01000044,94.2,6.0,34.386750387803595
E01000045,75.0,7.0,23.36551382475159
E01000046,125.0,1.0,6.366644379974536
E01000048,96.0,2.0,31.231215990923637
E01000049,153.2,6.0,28.092433919180095
E01000050,95.2,7.0,50.66486056243501
E01000051,148.68421052631578,22.0,334.3664470913166
E01000052,87.66666666666667,6.0,29.915346223637986
E01000053,120.0,2.0,11.230611847337276
E01000054,60.0,4.0,23.38738170332651
E01000055,0.0,0.0,0.0
E01000056,43.2,5.0,20.08426162766878
E01000057,0.0,0.0,0.0
E01000058,41.75,4.0,21.957831314557843
E01000059,71.5,2.0,9.553718769778747
E01000060,101.11111111111111,9.0,16.351703891997627
E01000061,66.375,9.0,14.863056400288272
E01000062,107.35714285714286,15.0,66.39668042104722
E01000063,73.0,2.0,10.957610235992144
E01000064,155.5,4.0,19.111032905435714
E01000065,118.66666666666667,4.0,17.298496281336018
E01000066,114.6,8.0,32.54133163510295
E01000067,125.0,3.0,15.612830741012932
E01000068,62.0,5.0,14.633044298769054
E01000069,433.0,2.0,10.237699146820923
E01000070,167.0,3.0,7.579240759914877
E01000071,95.57142857142857,9.0,33.256764916338376
E01000072,57.5,2.0,3.827310796215269
E01000073,68.33333333333333,7.0,24.741224628531352
E01000074,40.0,6.0,36.45837161447203
E01000075,94.5,4.0,7.749537580924353
E01000076,100.66666666666667,6.0,31.58209719374557
E01000077,0.0,0.0,0.0
E01000078,75.0,2.0,11.644134317388916
E01000079,43.8,7.0,22.587282882983853
E01000080,47.5,2.0,8.585052654072282
E01000081,0.0,0.0,0.0
E01000082,0.0,1.0,6.121799922557272
E01000083,0.0,2.0,11.156480300184331
E01000084,29.0,5.0,32.79088294428541
E01000085,119.0,3.0,20.7512647133032
E01000086,58.25,4.0,28.75787030629187
E01000087,116.66666666666667,4.0,10.662055324296661
E01000088,118.83333333333333,7.0,31.20105410059445
E01000089,45.0,5.0,33.12532399050809
E01000090,243.75,4.0,2.0581569678391
E01000091,125.83333333333333,6.0,24.216760997045387
E01000092,75.825,48.0,18.157997631399304
E01000093,240.0,2.0,6.844100953170304
E01000094,236.2,16.0,26.65608863216084
E01000095,120.52380952380952,23.0,10.011488102060744
E01000096,91.8,6.0,10.022549572981344
E01000097,104.0,5.0,27.560104658622514
E01000098,68.0,4.0,23.03490425812708
E01000099,138.33333333333334,5.0,16.113032597738453
E01000100,58.0,1.0,4.748215614975054
E01000101,66.66666666666667,3.0,18.633720397877376
E01000102,50.0,3.0,11.792880910402067
E01000103,79.0,7.0,10.025230623261377
E01000104,171.75,4.0,18.504025107779466
E01000105,144.0,9.0,40.24858129634505
E01000106,100.83333333333333,12.0,54.335082025491914
E01000107,103.8,6.0,11.122773448850777
E01000108,0.0,0.0,0.0
E01000109,81.25,4.0,10.64272974430848
E01000110,76.6,6.0,31.850233544949397
E01000111,189.0,3.0,9.953184760091919
E01000112,137.16666666666666,8.0,28.956174549378936
E01000113,146.5,3.0,19.39573746228032
E01000114,128.33333333333334,6.0,23.41819138907556
E01000115,123.5,4.0,14.294813482568793
E01000116,103.4,6.0,24.45722198676868
E01000117,85.0,1.0,3.0359736200088285
E01000118,49.5,2.0,7.0154633551078405
E01000119,60.7,14.0,34.95467058210077
E01000120,72.875,8.0,32.92587687625605
E01000121,76.25,5.0,13.275243222198137
E01000122,278.0,2.0,8.49190156728172
E01000123,69.0909090909091,13.0,24.783051356648006
E01000124,314.0,3.0,11.537317682276855
E01000125,158.75,10.0,32.986191545025484
E01000126,194.85714285714286,9.0,57.01814191690131
E01000127,88.0,4.0,20.37736458716317
E01000128,105.0,4.0,16.473547170609855
E01000129,105.8,7.0,40.397900675487094
E01000130,51.5,7.0,39.68837870704322
E01000131,98.9090909090909,16.0,47.87765032925493
E01000132,182.5,2.0,13.071550722749993
E01000133,86.25,6.0,37.6486545349427
E01000134,68.0,2.0,12.476781255751483
E01000135,139.41176470588235,25.0,74.91594453142349
E01000136,216.22222222222223,11.0,21.146594661700398
E01000137,143.25,6.0,48.55455706895565
E01000138,133.1,36.0,139.0273212006832
E01000139,215.84615384615384,20.0,56.62729596531261
E01000140,212.7058823529412,25.0,173.28339376540532
E01000141,157.39285714285714,36.0,97.4181796807538
E01000142,110.28571428571429,16.0,80.09834549057399
E01000143,129.41176470588235,22.0,128.36425970268542
E01000144,123.66666666666667,64.0,333.1601178559126
E01000145,106.62162162162163,40.0,190.62428777141164
E01000146,135.87719298245614,71.0,337.6774033853924
E01000147,129.33333333333334,17.0,83.55371568621248
E01000148,112.61111111111111,24.0,104.48201502314988
E01000150,173.9,11.0,23.721603392460413
E01000151,34.0,1.0,7.001821954787513
E01000152,82.45454545454545,16.0,88.62055952853868
E01000153,98.25,8.0,48.226195658535985
E01000154,115.83333333333333,20.0,150.15813306327397
E01000155,131.40425531914894,66.0,222.87410285755416
E01000156,86.23076923076923,19.0,106.40829837053602
E01000157,112.5,6.0,48.55462765110414
E01000158,125.6,5.0,18.514121207759803
E01000159,115.2,7.0,14.098720687075925
E01000160,83.5,14.0,46.319249768065525
E01000161,78.75,15.0,62.72438795993731
E01000162,96.5,6.0,32.69046853768293
E01000163,88.36363636363636,13.0,66.038242883632
E01000164,89.375,12.0,21.785998965415313
E01000165,122.75,7.0,37.06686655606278
E01000166,153.0,1.0,2.668490867242902
E01000167,43.0,5.0,8.339018515297633
E01000168,199.75,6.0,19.202890925769083
